[[60.0, 180.0, 180.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 180.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 180.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 180.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 180.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 180.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 180.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 180.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 180.0, 0.0, 0.0, 3.25]]
[[300.0, 60.0, 180.0, 0.0, 0.0, 3.25]]
[[300.0, 60.0, 180.0, 0.0, 0.0, 3.25]]
[[300.0, 60.0, 180.0, 0.0, 0.0, 3.25]]
[[300.0, 60.0, 180.0, 0.0, 0.0, 3.25]]
[[300.0, 60.0, 180.0, 0.0, 0.0, 3.25]]
[[300.0, 60.0, 180.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 60.0, 0.0, 0.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
[[180.0, 180.0, 300.0, 2.0, 2.0, 3.25]]
